tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 13, 0.24, 0, 0, 0.277128, 0.112611, 0.333015
tmfreqs:, 14, 0.26, 0, 0, 0.300222, 0.121503, 0.327285
tmfreqs:, 15, 0.28, 0, 0, 0.323316, 0.130254, 0.32143
tmfreqs:, 16, 0.3, 0, 0, 0.34641, 0.138837, 0.31548
tmfreqs:, 17, 0.32, 0, 0, 0.369504, 0.147222, 0.309474
tmfreqs:, 18, 0.34, 0, 0, 0.392598, 0.155367, 0.303456
tmfreqs:, 19, 0.36, 0, 0, 0.415692, 0.163216, 0.297484
tmfreqs:, 20, 0.38, 0, 0, 0.438786, 0.17069, 0.291636
tmfreqs:, 21, 0.4, 0, 0, 0.46188, 0.177681, 0.286024
tmfreqs:, 22, 0.42, 0, 0, 0.484974, 0.18403, 0.280803
tmfreqs:, 23, 0.44, 0, 0, 0.508068, 0.189513, 0.276198
tmfreqs:, 24, 0.46, 0, 0, 0.531162, 0.193834, 0.272505
tmfreqs:, 25, 0.48, 0, 0, 0.554256, 0.196639, 0.270077
tmfreqs:, 26, 0.5, 0, 0, 0.57735, 0.197617, 0.269224
tmfreqs:, 27, 0.5, 0.02, 0, 0.566157, 0.197459, 0.269572
tmfreqs:, 28, 0.5, 0.04, 0, 0.555698, 0.197002, 0.270598
tmfreqs:, 29, 0.5, 0.06, 0, 0.546016, 0.196288, 0.272251
tmfreqs:, 30, 0.5, 0.08, 0, 0.537153, 0.195383, 0.274454
tmfreqs:, 31, 0.5, 0.1, 0, 0.52915, 0.194358, 0.277114
tmfreqs:, 32, 0.5, 0.12, 0, 0.522047, 0.193288, 0.280123
tmfreqs:, 33, 0.5, 0.14, 0, 0.515881, 0.192243, 0.283363
tmfreqs:, 34, 0.5, 0.16, 0, 0.510686, 0.191281, 0.286694
tmfreqs:, 35, 0.5, 0.18, 0, 0.506491, 0.190453, 0.289942
tmfreqs:, 36, 0.5, 0.2, 0, 0.503322, 0.189798, 0.292875
tmfreqs:, 37, 0.5, 0.22, 0, 0.501199, 0.189346, 0.295176
tmfreqs:, 38, 0.5, 0.24, 0, 0.500133, 0.189116, 0.29647
tmfreqs:, 39, 0.5, 0.26, 0, 0.500133, 0.189117, 0.296468
tmfreqs:, 40, 0.5, 0.28, 0, 0.501199, 0.189348, 0.29517
tmfreqs:, 41, 0.5, 0.3, 0, 0.503322, 0.189802, 0.292866
tmfreqs:, 42, 0.5, 0.32, 0, 0.506491, 0.190457, 0.289929
tmfreqs:, 43, 0.5, 0.34, 0, 0.510686, 0.191287, 0.286677
tmfreqs:, 44, 0.5, 0.36, 0, 0.515881, 0.19225, 0.283343
tmfreqs:, 45, 0.5, 0.38, 0, 0.522047, 0.193297, 0.2801
tmfreqs:, 46, 0.5, 0.4, 0, 0.52915, 0.194368, 0.277088
tmfreqs:, 47, 0.5, 0.42, 0, 0.537153, 0.195394, 0.274426
tmfreqs:, 48, 0.5, 0.44, 0, 0.546016, 0.196301, 0.27222
tmfreqs:, 49, 0.5, 0.46, 0, 0.555698, 0.197016, 0.270566
tmfreqs:, 50, 0.5, 0.48, 0, 0.566157, 0.197474, 0.269539
tmfreqs:, 51, 0.5, 0.5, 0, 0.57735, 0.197632, 0.269191
tmfreqs:, 52, 0.48, 0.48, 0, 0.554256, 0.196653, 0.270044
tmfreqs:, 53, 0.46, 0.46, 0, 0.531162, 0.193846, 0.272475
tmfreqs:, 54, 0.44, 0.44, 0, 0.508068, 0.189524, 0.27617
tmfreqs:, 55, 0.42, 0.42, 0, 0.484974, 0.184038, 0.280779
